modelid,position,rotation,scale
1,(-450,422,-746),(0,70,0),(224,224,224)
2,(-450,422,-747),(0,70,0),(224,224,224)
3,(-450,422,-748),(0,100,0),(254,254,254)
4,(-450,422,-749),(0,100,0),(232,232,232)
5,(-450,422,-750),(0,100,0),(224,224,224)
6,(-450,422,-751),(0,100,0),(232,232,232)
7,(-644,422,-752),(0,100,0),(224,224,224)
8,(-450,422,-753),(0,100,0),(210,210,210)
9,(-450,422,-754),(0,105,0),(192,192,192)
10,(-450,422,-755),(0,90,0),(224,224,224)
11,(-580,422,-756),(0,95,0),(180,180,180)
12,(-450,422,-757),(0,95,0),(190,190,190)
13,(-450,422,-753),(0,100,0),(200,200,200)
14,(-450,422,-753),(0,100,0),(200,200,200)
15,(-450,422,-753),(0,100,0),(200,200,200)
