id,modelid,position,rotation,scale,size,systemid
1,1,(-7.8,-167,10000),(0,180,0),(240,240,240),1,1
2,2,(-7.8,-167,10000),(0,180,0),(270,270,270),1,1
3,3,(-7.8,-167,10000),(0,180,0),(270,270,270),1,1
4,4,(-7.8,-167,10000),(0,180,0),(300,300,300),1,1
5,5,(-7.8,-167,10000),(0,180,0),(290,290,290),1,1
6,6,(-7.8,-167,10000),(0,180,0),(280,280,280),1,1
7,7,(-7.8,-167,10000),(0,180,0),(260,260,260),1,1
8,8,(-7.8,-167,10000),(0,180,0),(240,240,240),1,1
9,9,(-7.8,-167,10000),(0,180,0),(230,230,230),1,1
10,10,(-7.8,-167,10000),(0,180,0),(240,240,240),1,1
