id,modelid,position,rotation,scale,size,systemid
1,1,(1.24,9.8,1000),(0,171,0),(180,180,180),0.699999988079071,101000000
2,2,(2.9,9.3,1000),(0,-180,0),(180,180,180),0.699999988079071,101000000
3,3,(1.01,11.8,1000),(0,180,0),(180,180,180),0.699999988079071,101000000
4,1,(1.24,9.8,1000),(0,171,0),(180,180,180),0.699999988079071,131030000
5,2,(2.9,9.3,1000),(0,-180,0),(180,180,180),0.699999988079071,131030000
6,3,(6.17,12.65,1000),(0,180,0),(180,180,180),0.699999988079071,131030000
7,1,(1.24,9.8,1000),(0,171,0),(200,200,200),0.699999988079071,131040000
8,2,(2.9,9.3,1000),(0,-180,0),(200,200,200),0.699999988079071,131040000
9,3,(-3.27,11.05,1000),(0,180,0),(200,200,200),0.699999988079071,131040000
10,1,(1.24,9.8,1000),(0,171,0),(215,215,215),0.699999988079071,132010000
11,2,(2.9,9.3,1000),(0,-180,0),(215,215,215),0.699999988079071,132010000
12,3,(-2.84,12.7,1000),(0,180,0),(215,215,215),0.699999988079071,132010000
13,1,(1.24,9.8,1000),(0,171,0),(215,215,215),0.699999988079071,132020000
14,2,(2.9,9.3,1000),(0,-180,0),(215,215,215),0.699999988079071,132020000
15,3,(-2.84,12.7,1000),(0,180,0),(215,215,215),0.699999988079071,132020000
16,1,(16.88,-144,1500),(0,171,0),(150,150,150),0.300000011920929,180000000
17,2,(16.7,-141.7,1500),(0,-180,0),(150,150,150),0.300000011920929,180000000
18,3,(14.3,-142,1500),(0,180,0),(150,150,150),0.300000011920929,180000000
19,1,(16.88,-144,1500),(0,171,0),(150,150,150),0.300000011920929,180000000
20,2,(16.7,-141.7,1500),(0,-180,0),(150,150,150),0.300000011920929,180000000
21,3,(14.3,-142,1500),(0,180,0),(150,150,150),0.300000011920929,180000000
22,1,(16.88,-144,1500),(0,171,0),(150,150,150),0.300000011920929,180000000
23,2,(16.7,-141.7,1500),(0,-180,0),(150,150,150),0.300000011920929,180000000
24,3,(14.3,-142,1500),(0,180,0),(150,150,150),0.300000011920929,180000000
25,1,(16.88,-144,1500),(0,171,0),(150,150,150),0.300000011920929,180000000
26,2,(16.7,-141.7,1500),(0,-180,0),(150,150,150),0.300000011920929,180000000
27,3,(14.3,-142,1500),(0,180,0),(150,150,150),0.300000011920929,180000000
28,1,(16.88,-144,1500),(0,171,0),(150,150,150),0.300000011920929,180000000
29,2,(16.7,-141.7,1500),(0,-180,0),(150,150,150),0.300000011920929,180000000
30,3,(14.3,-142,1500),(0,180,0),(150,150,150),0.300000011920929,180000000
31,1,(16.88,-144,1500),(0,171,0),(150,150,150),0.300000011920929,180000000
