id,kind,position,rotation,scale,effectscale,interfaceid
1,1,(0,-122.6,-500),(0,173,0),(110,110,110),1,1
2,2,(0,-158.8,-500),(0,0,0),(85,85,85),1,1
3,3,(0,-126.02,-500),(7.46,139.3,-7.93),(80,80,80),1,1
4,4,(0,-72.6,-500),(0,0,0),(375,375,375),0.800000011920929,1
5,5,(0,-118.4,-500),(0,180,0),(180,180,180),0.800000011920929,1
6,6,(-7.1,-131.8,-500),(-15,0,0),(200,200,200),0.800000011920929,1
7,7,(0,-162.4,-500),(0,180,0),(180,165,180),1,1
8,8,(0,-87.38,500),(0,180,0),(320,320,320),1,1
9,9,(13.06,-96.8,500),(0,0,0),(375,375,375),1,1
10,10,(0,-452,-500),(0,180,0),(250,250,250),1,1
11,11,(0,-115.1,500),(0,0,0),(375,375,375),1,1
12,12,(0,-109.6,500),(0,0,0),(375,375,375),1,1
13,13,(0,-108.8,500),(0,0,0),(375,375,375),1,1
14,14,(3.1,-134,500),(-15,0,0),(375,375,375),1,1
15,15,(10.2,-132.6,-500),(0,180,0),(180,180,180),1,1
16,1,(0,-13.1,500),(0,180,0),(56,56,56),0.800000011920929,0
17,2,(-5.7,-29.8,500),(0,0,0),(45,45,45),0.800000011920929,0
18,3,(-6.1,-11.5,500),(0,-137,0),(40,40,40),0.899999976158142,0
19,4,(0,-26,500),(0,0,0),(320,320,320),1,0
20,5,(-3.2,-10.1,500),(0,180,0),(95,95,95),0.400000005960464,0
21,6,(-3.59,-0.7,500),(-10,0,0),(120,120,120),0.5,0
22,7,(0,-30.7,500),(0,180,0),(72,72,72),0.800000011920929,0
23,8,(0,-12,500),(0,180,0),(320,320,320),1,0
24,9,(0,-3,500),(0,0,0),(300,300,300),1,0
25,10,(0,-165,500),(0,180,0),(120,120,120),0.5,0
26,11,(0,7,500),(0,0,0),(300,300,300),1,0
27,12,(0,-32.06,500),(0,0,0),(375,375,375),1,0
28,13,(0,-36.4,500),(0,0,0),(375,375,375),1,0
29,14,(-4.2,-8.32,500),(-15,0,0),(375,375,375),1,0
30,15,(6.85,-12,500),(0,180,0),(90,90,90),0.5,0
