id,copy_id,object_id,profession,bind,rank,number
1,20101,195401001,0,1,1,-1
2,20101,215500001,0,2,2,-1
3,20102,195401001,0,1,1,-1
4,20102,215500001,0,2,2,-1
5,20103,195401001,0,1,1,-1
6,20103,215500001,0,2,2,-1
7,20104,195401001,0,1,1,-1
8,20104,215500001,0,2,2,-1
9,20201,215514001,0,2,1,-1
10,20201,215500001,0,2,2,-1
11,20202,215514001,0,2,1,-1
12,20202,215500001,0,2,2,-1
13,20203,215514001,0,2,1,-1
14,20203,215500001,0,2,2,-1
15,20204,215514001,0,2,1,-1
16,20204,215500001,0,2,2,-1
17,20301,183357001,0,1,1,-1
18,20301,183358001,0,1,2,-1
19,20301,205299001,0,1,3,-1
20,20301,164264001,0,1,5,-1
21,20301,215500001,0,2,6,-1
22,20301,183351003,0,1,7,-1
23,20302,183357001,0,1,1,-1
24,20302,183358001,0,1,2,-1
25,20302,205299001,0,1,3,-1
26,20302,164264001,0,1,5,-1
27,20302,215500001,0,2,6,-1
28,20302,183351003,0,1,7,-1
29,20303,183357001,0,1,1,-1
30,20303,183358001,0,1,2,-1
31,20303,205299001,0,1,3,-1
32,20303,164264001,0,1,5,-1
33,20303,215500001,0,2,6,-1
34,20303,183351003,0,1,7,-1
35,20304,183357001,0,1,1,-1
36,20304,183358001,0,1,2,-1
37,20304,205299001,0,1,3,-1
38,20304,164264001,0,1,5,-1
39,20304,215500001,0,2,6,-1
40,20304,183351003,0,1,7,-1
41,20401,193403001,0,1,1,-1
42,20401,192403002,0,1,1,-1
43,20401,215500001,0,2,2,-1
44,20402,193403001,0,1,1,-1
45,20402,192403002,0,1,1,-1
46,20402,215500001,0,2,2,-1
47,20403,193403001,0,1,1,-1
48,20403,192403002,0,1,1,-1
49,20403,215500001,0,2,2,-1
50,20404,193403001,0,1,1,-1
51,20404,192403002,0,1,1,-1
52,20404,215500001,0,2,2,-1
53,20501,196406002,0,1,1,-1
54,20501,196407002,0,1,2,-1
55,20501,196405002,0,1,3,-1
56,20501,215500001,0,2,4,-1
57,20502,196406002,0,1,1,-1
58,20502,196407002,0,1,2,-1
59,20502,196405002,0,1,3,-1
60,20502,215500001,0,2,4,-1
61,20503,195406003,0,1,1,-1
62,20503,195407003,0,1,2,-1
63,20503,195405003,0,1,3,-1
64,20503,215500001,0,2,4,-1
65,20504,195406003,0,1,1,-1
66,20504,195407003,0,1,2,-1
67,20504,195405003,0,1,3,-1
68,20504,215500001,0,2,4,-1
69,30101,195401001,0,1,1,-1
70,30101,215500001,0,2,2,-1
71,30102,195401001,0,1,1,-1
72,30102,215500001,0,2,2,-1
73,30103,195401001,0,1,1,-1
74,30103,215500001,0,2,2,-1
75,30104,195401001,0,1,1,-1
76,30104,215500001,0,2,2,-1
77,30201,196406002,0,1,1,-1
78,30201,196407002,0,1,2,-1
79,30201,196405002,0,1,3,-1
80,30201,215500001,0,2,4,-1
81,30202,196406002,0,1,1,-1
82,30202,196407002,0,1,2,-1
83,30202,196405002,0,1,3,-1
84,30202,215500001,0,2,4,-1
85,30203,195406003,0,1,1,-1
86,30203,195407003,0,1,2,-1
87,30203,195405003,0,1,3,-1
88,30203,215500001,0,2,4,-1
89,30204,195406003,0,1,1,-1
90,30204,195407003,0,1,2,-1
91,30204,195405003,0,1,3,-1
92,30204,215500001,0,2,4,-1
93,40101,173306001,0,1,1,-1
94,40101,183359001,0,1,2,-1
95,40101,173304007,0,1,3,-1
96,40101,163255001,0,1,4,-1
97,40102,173306003,0,1,1,-1
98,40102,173306002,0,1,2,-1
99,40102,173304007,0,1,4,-1
100,40102,163255001,0,1,5,-1
101,40103,173306004,0,1,1,-1
102,40103,173306003,0,1,2,-1
103,40103,173304007,0,1,4,-1
104,40103,163255001,0,1,5,-1
105,40104,173306005,0,1,1,-1
106,40104,173306004,0,1,2,-1
107,40104,173304007,0,1,4,-1
108,40104,163255001,0,1,5,-1
109,50101,183362001,0,2,1,-1
110,50101,183363001,0,2,2,-1
111,50101,215513001,0,2,3,-1
112,50101,215514001,0,2,4,-1
113,50201,183362001,0,2,1,-1
114,50201,183363001,0,2,2,-1
115,50201,215513001,0,2,3,-1
116,50201,215514001,0,2,4,-1
117,50301,183362001,0,2,1,-1
118,50301,183363001,0,2,2,-1
119,50301,215513001,0,2,3,-1
120,50301,215514001,0,2,4,-1
121,50401,183362001,0,2,1,-1
122,50401,183363001,0,2,2,-1
123,50401,215513001,0,2,3,-1
124,50401,215514001,0,2,4,-1
125,60101,215503001,0,2,1,-1
126,60102,215503001,0,2,1,-1
127,60103,215503001,0,2,1,-1
128,60104,215503001,0,2,1,-1
129,60105,215503001,0,2,1,-1
130,60106,215503001,0,2,1,-1
131,60107,215503001,0,2,1,-1
132,60108,215503001,0,2,1,-1
133,60201,215503001,0,2,1,-1
134,60202,215503001,0,2,1,-1
135,60203,215503001,0,2,1,-1
136,60204,215503001,0,2,1,-1
137,60205,215503001,0,2,1,-1
138,60206,215503001,0,2,1,-1
139,60207,215503001,0,2,1,-1
140,60208,215503001,0,2,1,-1
141,60301,215503001,0,2,1,-1
142,60302,215503001,0,2,1,-1
143,60303,215503001,0,2,1,-1
144,60304,215503001,0,2,1,-1
145,60305,215503001,0,2,1,-1
146,60306,215503001,0,2,1,-1
147,60307,215503001,0,2,1,-1
148,60308,215503001,0,2,1,-1
149,60401,215503001,0,2,1,-1
150,60402,215503001,0,2,1,-1
151,60403,215503001,0,2,1,-1
152,60404,215503001,0,2,1,-1
153,60405,215503001,0,2,1,-1
154,60406,215503001,0,2,1,-1
155,60407,215503001,0,2,1,-1
156,60408,215503001,0,2,1,-1
157,60501,215503001,0,2,1,-1
158,60502,215503001,0,2,1,-1
159,60503,215503001,0,2,1,-1
160,60504,215503001,0,2,1,-1
161,60505,215503001,0,2,1,-1
162,60506,215503001,0,2,1,-1
163,60507,215503001,0,2,1,-1
164,60508,215503001,0,2,1,-1
165,60601,215503001,0,2,1,-1
166,60602,215503001,0,2,1,-1
167,60603,215503001,0,2,1,-1
168,60604,215503001,0,2,1,-1
169,60605,215503001,0,2,1,-1
170,60606,215503001,0,2,1,-1
171,60607,215503001,0,2,1,-1
172,60608,215503001,0,2,1,-1
173,60701,215503001,0,2,1,-1
174,60702,215503001,0,2,1,-1
175,60703,215503001,0,2,1,-1
176,60704,215503001,0,2,1,-1
177,60705,215503001,0,2,1,-1
178,60706,215503001,0,2,1,-1
179,60707,215503001,0,2,1,-1
180,60708,215503001,0,2,1,-1
181,70101,173309003,0,1,1,1
182,70101,173304007,0,1,1,1
183,70102,173309003,0,1,1,1
184,70102,173304007,0,1,1,1
185,70103,173309003,0,1,1,1
186,70103,173304007,0,1,1,1
187,70104,173309003,0,1,1,1
188,70104,173304007,0,1,1,2
189,70105,173309003,0,1,1,1
190,70105,173304007,0,1,1,2
191,70106,173309003,0,1,1,1
192,70106,173304007,0,1,1,2
193,70107,173309003,0,1,1,1
194,70107,173304007,0,1,1,3
195,70108,173309003,0,1,1,1
196,70108,173304007,0,1,1,3
197,70109,173309003,0,1,1,1
198,70109,173304007,0,1,1,3
199,70110,173309003,0,1,1,1
200,70110,173304007,0,1,1,4
201,70111,173309003,0,1,1,2
202,70111,173304007,0,1,1,4
203,70112,173309003,0,1,1,2
204,70112,173304007,0,1,1,4
205,70113,173309003,0,1,1,2
206,70113,173304007,0,1,1,5
207,70114,173309003,0,1,1,2
208,70114,173304007,0,1,1,5
209,70115,173309003,0,1,1,2
210,70115,173304007,0,1,1,5
211,70116,173309003,0,1,1,2
212,70116,173304007,0,1,1,6
213,70117,173309003,0,1,1,2
214,70117,173304007,0,1,1,6
215,70118,173309003,0,1,1,2
216,70118,173304007,0,1,1,6
217,70119,173309003,0,1,1,2
218,70119,173304007,0,1,1,7
219,70120,173309003,0,1,1,2
220,70120,173304007,0,1,1,7
221,70121,173309003,0,1,1,3
222,70121,173304007,0,1,1,7
223,70122,173309003,0,1,1,3
224,70122,173304007,0,1,1,8
225,70123,173309003,0,1,1,3
226,70123,173304007,0,1,1,8
227,70124,173309003,0,1,1,3
228,70124,173304007,0,1,1,8
229,70125,173309003,0,1,1,3
230,70125,173304007,0,1,1,9
231,70126,173309003,0,1,1,3
232,70126,173304007,0,1,1,9
233,70127,173309003,0,1,1,3
234,70127,173304007,0,1,1,9
235,70128,173309003,0,1,1,3
236,70128,173304007,0,1,1,10
237,70129,173309003,0,1,1,3
238,70129,173304007,0,1,1,10
239,70130,173309003,0,1,1,3
240,70130,173304007,0,1,1,10
241,70131,173309003,0,1,1,4
242,70131,173304007,0,1,1,10
243,70132,173309003,0,1,1,4
