id,bag_id,objectid,bind,percent,mix,max,step
1,10001,144151320,2,37,1,1,1
2,10001,144151120,2,37,1,1,1
3,10001,144151220,2,37,1,1,1
4,10001,144152120,2,16,1,1,1
5,10001,144152220,2,16,1,1,1
6,10001,144152320,2,16,1,1,1
7,10001,144153320,2,30,1,1,1
8,10001,144153120,2,30,1,1,1
9,10001,144153220,2,30,1,1,1
10,10001,144154220,2,23,1,1,1
11,10001,144154120,2,23,1,1,1
12,10001,144154320,2,23,1,1,1
13,10001,144155320,2,30,1,1,1
14,10001,144155120,2,30,1,1,1
15,10001,144155220,2,30,1,1,1
16,10001,144156320,2,37,1,1,1
17,10001,144156120,2,37,1,1,1
18,10001,144156220,2,37,1,1,1
19,10001,144157120,2,30,1,1,1
20,10001,144157320,2,30,1,1,1
21,10001,144157220,2,30,1,1,1
22,10001,144158320,2,27,1,1,1
23,10001,144158220,2,27,1,1,1
24,10001,144158120,2,27,1,1,1
25,10001,144159320,2,30,1,1,1
26,10001,144159220,2,30,1,1,1
27,10001,144159120,2,30,1,1,1
28,10001,144160320,2,30,1,1,1
29,10001,144160220,2,30,1,1,1
30,10001,144160120,2,30,1,1,1
31,10001,144161220,2,13,1,1,1
32,10001,144161320,2,13,1,1,1
33,10001,144161120,2,13,1,1,1
34,10001,144162320,2,23,1,1,1
35,10001,144162120,2,23,1,1,1
36,10001,144162220,2,23,1,1,1
37,10002,144151320,2,57,1,1,1
38,10002,144151120,2,57,1,1,1
39,10002,144151220,2,57,1,1,1
40,10002,144152120,2,23,1,1,1
41,10002,144152220,2,23,1,1,1
42,10002,144152320,2,23,1,1,1
43,10002,144153320,2,47,1,1,1
44,10002,144153120,2,47,1,1,1
45,10002,144153220,2,47,1,1,1
46,10002,144154220,2,37,1,1,1
47,10002,144154120,2,37,1,1,1
48,10002,144154320,2,37,1,1,1
49,10002,144155320,2,47,1,1,1
50,10002,144155120,2,47,1,1,1
51,10002,144155220,2,47,1,1,1
52,10002,144156320,2,57,1,1,1
53,10002,144156120,2,57,1,1,1
54,10002,144156220,2,57,1,1,1
55,10002,144157120,2,47,1,1,1
56,10002,144157320,2,47,1,1,1
57,10002,144157220,2,47,1,1,1
58,10002,144158320,2,40,1,1,1
59,10002,144158220,2,40,1,1,1
60,10002,144158120,2,40,1,1,1
61,10002,144159320,2,46,1,1,1
62,10002,144159220,2,46,1,1,1
63,10002,144159120,2,46,1,1,1
64,10002,144160320,2,46,1,1,1
65,10002,144160220,2,46,1,1,1
66,10002,144160120,2,46,1,1,1
67,10002,144161220,2,20,1,1,1
68,10002,144161320,2,20,1,1,1
69,10002,144161120,2,20,1,1,1
70,10002,144162320,2,36,1,1,1
71,10002,144162120,2,36,1,1,1
72,10002,144162220,2,36,1,1,1
73,10003,144151330,2,20,1,1,1
74,10003,144151130,2,20,1,1,1
75,10003,144151230,2,20,1,1,1
76,10003,144152330,2,7,1,1,1
77,10003,144152230,2,7,1,1,1
78,10003,144152130,2,7,1,1,1
79,10003,144153330,2,17,1,1,1
80,10003,144153130,2,17,1,1,1
81,10003,144153230,2,17,1,1,1
82,10003,144154230,2,13,1,1,1
83,10003,144154130,2,13,1,1,1
84,10003,144154330,2,13,1,1,1
85,10003,144155130,2,17,1,1,1
86,10003,144155230,2,17,1,1,1
