id,professional,ride_typeid,fashion_typeid,ride_bone,fashion_bone,fashion_position,fashion_rotation,fashion_scale,ride_position,ride_rotation,ride_scale,pose,height,jump_height
1,1,1,0, Bip001/Bip001 Pelvis/Bip001 Spine/xiongmao_ride, ,(0.875,-0.167,0.016）,(90,-90,0),(1,1,1),(0,0,0),(0,0,0),(1,1,1),1,2.2,(0,1.3,0.23)
2,2,1,0, Bip001/Bip001 Pelvis/Bip001 Spine/xiongmao_ride,,(1.043,-0.105,0.019）,(86.61,105.06,-164.9),(1,1,1),(0,0,0),(0,0,0),(1,1,1),1,2.2,(0,1.15,0.15)
3,3,1,0, Bip001/Bip001 Pelvis/Bip001 Spine/xiongmao_ride,,(0.976,-0.202,-0.06）,(90,-90,0),(1,1,1),(0,0,0),(0,0,0),(1,1,1),1,2.2,(0,1.3,0.23)
4,1,2,0,Bip001/Bip001 Pelvis/Bip001 Spine/xunyingshuanglang_ride,,(1.169,-0.112,-0.008),(87.64,-71.07,18.26),(1,1,1),(0,0,0),(0,0,0),(1,1,1),1,2.1,(0,0.9,-0.1)
5,2,2,0,Bip001/Bip001 Pelvis/Bip001 Spine/xunyingshuanglang_ride,,(1.167,-0.317,0),(87.65,-71.07,18.26),(1,1,1),(0,0,0),(0,0,0),(1,1,1),1,2.1,(0,0.79,0.06)
6,3,2,0,Bip001/Bip001 Pelvis/Bip001 Spine/xunyingshuanglang_ride,,(1.034,-0.185,-0.07),(87.65,-71,18.2),(1,1,1),(0,0,0),(0,0,0),(1,1,1),1,2.1,(0,0.9,-0.1)
7,1,3,0, Bip001/Bip001 Pelvis/Bip001 Spine/ride,,(1.219,-0.284,0),(90,-90,0),(1,1,1),(0,0,0),(0,0,0),(1,1,1),1,2.3,(0,1.2,0.16)
8,2,3,0, Bip001/Bip001 Pelvis/Bip001 Spine/ride,,(1.22,-0.26,0.02),(90,-90,0),(1,1,1),(0,0,0),(0,0,0),(1,1,1),1,2.3,(0,1.4,0.2)
9,3,3,0, Bip001/Bip001 Pelvis/Bip001 Spine/ride,,(1.184,-0.315,-0.006),(90,-90,0),(1,1,1),(0,0,0),(0,0,0),(1,1,1),1,2.3,(0,1.53,0.21)
10,1,4,0, Bip001/Bip001 Pelvis/Bip001 Spine/xiniu_Bone008,,(1.297,-0.037,0),(89.2,-90,-0.0137),(1,1,1),(0,0,0),(0,0,0),(1,1,1),1,2.5,(0,1.7,-0.3)
11,2,4,0, Bip001/Bip001 Pelvis/Bip001 Spine/xiniu_Bone008,,(1.284,-0.027,0.029),(89.206,-90,-0.01),(1,1,1),(0,0,0),(0,0,0),(1,1,1),1,2.5,(0,1.7,-0.3)
12,3,4,0, Bip001/Bip001 Pelvis/Bip001 Spine/xiniu_Bone008,,(1.306,0.006,-0.012),(89.20623,-90.38,0),(1,1,1),(0,0,0),(0,0,0),(1,1,1),1,2.5,(0,1.8,-0.4)
13,1,5,0, Bip001/Bip001 Pelvis/Bip001 Spine/JiuWeiHu_Bone001,,(1.101,-0.32,0),(85.09,93.41,-176.669),(1,1,1),(0,0,0),(0,0,0),(1,1,1),1,2.2,(0,1.2,0.3)
14,2,5,0, Bip001/Bip001 Pelvis/Bip001 Spine/JiuWeiHu_Bone001,,(1.032,-0.332,-0.026),(85.09,93.41,-176.6689),(1,1,1),(0,0,0),(0,0,0),(1,1,1),1,2.2,(0,1.2,0.3)
15,3,5,0, Bip001/Bip001 Pelvis/Bip001 Spine/JiuWeiHu_Bone001,,(1.069,-0.251,-0.025),(85.09,93.41,-176.6689),(1,1,1),(0,0,0),(0,0,0),(1,1,1),1,2.2,(0,1.2,0.3)
16,1,6,0, Bip001/Bip001 Pelvis/Bip001 Spine/JiYingFengMo_Bone008,,(0.578,-0.086,0.059),(67.83,96.29,-173.83),(1,1,1),(0,0,0),(0,0,0),(1,1,1),1,2.9,(0,2.45,0.7)
17,2,6,0, Bip001/Bip001 Pelvis/Bip001 Spine/JiYingFengMo_Bone008,,(0.52,-0.08,0.01),(73.55,97.23,-172.834),(1,1,1),(0,0,0),(0,0,0),(1,1,1),1,2.9,(0,2.3,0.6)
18,3,6,0, Bip001/Bip001 Pelvis/Bip001 Spine/JiYingFengMo_Bone008,,(0.538,-0.165,-0.013),(73.55,97.23,-172.83),(1,1,1),(0,0,0),(0,0,0),(1,1,1),1,2.9,(0,2.45,0.7)
19,1,7,0, Bip001/Bip001 Pelvis/Bip001 Spine/ChiJi_ride_Bone022,,(0.99,-0.549,0.034),(85,-90,-1.98),(1,1,1),(0,0,0),(0,0,0),(1,1,1),1,2.8,(0,1.6,0.5)
20,2,7,0, Bip001/Bip001 Pelvis/Bip001 Spine/ChiJi_ride_Bone022,,(1.01,-0.574,-0.012),(85,-90,-1.98),(1,1,1),(0,0,0),(0,0,0),(1,1,1),1,2.8,(0,1.5,0.43)
21,3,7,0, Bip001/Bip001 Pelvis/Bip001 Spine/ChiJi_ride_Bone022,,(0.936,-0.612,-0.08),(85,-90,-1.98),(1,1,1),(0,0,0),(0,0,0),(1,1,1),1,2.8,(0,1.6,0.5)
22,1,8,0, Bip001/Bip001 Pelvis/Bip001 Spine/stgui__ride,,(-0.23,0.004,0),(88.67,-52.778,37.25),(1,1,1),(0,0,0),(0,0,0),(1,1,1),2,3.7,(0,2.7,0.2)
23,2,8,0, Bip001/Bip001 Pelvis/Bip001 Spine/stgui__ride,,(-0.23,0.004,0),(88.67,-52.778,37.25),(1,1,1),(0,0,0),(0,0,0),(1,1,1),2,3.7,(0,2.7,0.2)
24,3,8,0, Bip001/Bip001 Pelvis/Bip001 Spine/stgui__ride,,(-0.23,0.004,0),(88.67,-52.778,37.25),(1,1,1),(0,0,0),(0,0,0),(1,1,1),2,3.7,(0,2.7,0.2)
25,1,9,0, Bip001/Bip001 Pelvis/Bip001 Spine/HongLeiXingShi_ride,,(1.142,-0.396,0),(90,-90,0),(1,1,1),(0,0,0),(0,0,0),(1,1,1),1,2.5,(0,2.5,0)
26,2,9,0, Bip001/Bip001 Pelvis/Bip001 Spine/HongLeiXingShi_ride,,(1.034,-0.258,0),(90,-90,0),(1,1,1),(0,0,0),(0,0,0),(1,1,1),1,2.5,(0,2.3,0)
27,3,9,0, Bip001/Bip001 Pelvis/Bip001 Spine/HongLeiXingShi_ride,,(1.145,-0.195,0.018),(90,-90,0),(1,1,1),(0,0,0),(0,0,0),(1,1,1),1,2.5,(0,2.5,0)
28,1,10,0,Bip001/Bip001 Pelvis/Bip001 Spine/ride,,(1.035,-0.126,0),(89.90632,-89.98805,0),(1,1,1),(0,0.67,0),(0,0,0),(1,1,1),1,3.6,(0,2.9,0.9)
