id,effect,position,rotation,scale,size,systemid
1,ZUJI_huoyan_UI,(-163,-94.8,0),(-15,0,0),(350,350,350),1,131060200
2,ZUJI_hudie_UI,(-151,-96,0),(-15,0,0),(350,350,350),1,131060200
3,ZUJI_binglianhua_UI,(-163,-107.3,0),(-15,0,0),(270,270,270),1,131060200
4,ZUJI_huacao_UI,(-147.3,-127.6,0),(-15,0,0),(375,375,375),1,131060200
5,ZUJI_shandian_UI,(-145,-91.3,0),(-15,0,0),(300,300,300),1,131060200
6,ZUJI_bagua_UI,(-152,-97,0),(-15,0,0),(340,340,340),1,131060200
7,ZUJI_fanyin_UI,(-148,-89.5,0),(-15,0,0),(300,300,300),1,131060200
8,ZUJI_xingzuo_UI,(-154,-84.9,0),(-10,0,0),(270,270,270),1,131060200
9,ZUJI_jian_UI,(-156.7,-119,9999),(-15,0,0),(320,320,320),1,131060200
10,ZUJI_jinlong_UI,(-153,-102.5,0),(-15,0,0),(300,300,300),1,131060200
11,ZUJI_emo_UI02,(6.5,98,-42),(-15,0,0),(300,300,300),1,132040000
12,ZUJI_nangua_UI02,(-13.1,71.9,0),(-15,0,0),(350,350,350),1,132040000
13,ZUJI_zuanshi_UI02,(-16,75,0),(-15,0,0),(350,350,350),1,132040000
14,ZUJI_maozhua_UI02,(-16.8,214,0),(-15,0,0),(300,300,300),1,132040000
15,ZUJI_jinbi_UI02,(-15.9,65.2,0),(-15,0,0),(270,270,270),1,132040000
16,ZUJI_xukong_UI02,(-16.8,83,0),(-15,0,0),(300,300,300),1,132040000
17,ZUJI_keji_UI,(-15.9,65.2,0),(-15,0,0),(270,270,270),1,132040000
18,ZUJI_longjuanfeng_UI,(-13.6,60.9,0),(-15,0,0),(375,375,375),1,132040000
19,ZUJI_huoyan_UI,(0,0,0),(-10,0,0),(1,1,1),1,131060300
20,ZUJI_hudie_UI,(0,0,0),(-10,0,0),(1,1,1),1,131060300
21,ZUJI_binglianhua_UI,(0,0,0),(-10,0,0),(1,1,1),1,131060300
22,ZUJI_huacao_UI,(0,0,0),(-10,0,0),(1,1,1),1,131060300
23,ZUJI_shandian_UI,(0,0,0),(-10,0,0),(1,1,1),1,131060300
24,ZUJI_bagua_UI,(0,0,0),(-10,0,0),(1,1,1),1,131060300
25,ZUJI_fanyin_UI,(0,0,0),(-10,0,0),(1,1,1),1,131060300
26,ZUJI_xingzuo_UI,(0,0,0),(-10,0,0),(1,1,1),1,131060300
27,ZUJI_jian_UI,(0,0,0),(-10,0,0),(1,1,1),1,131060300
28,ZUJI_jinlong_UI,(0,0,0),(-10,0,0),(1,1,1),1,131060300
29,ZUJI_emo_UI02,(0,0,0),(-10,0,0),(1,1,1),1,131060300
30,ZUJI_nangua_UI02,(0,0,0),(-10,0,0),(1,1,1),1,131060300
31,ZUJI_zuanshi_UI02,(0,0,0),(-10,0,0),(1,1,1),1,131060300
32,ZUJI_maozhua_UI02,(0,0,0),(-10,0,0),(1,1,1),1,131060300
33,ZUJI_jinbi_UI02,(0,0,0),(-10,0,0),(1,1,1),1,131060300
34,ZUJI_xukong_UI,(0,0,0),(-10,0,0),(1,1,1),1,131060300
35,ZUJI_keji_UI,(0,0,0),(-10,0,0),(1,1,1),1,131060300
36,ZUJI_longjuanfeng_UI,(0,0,0),(-10,0,0),(1,1,1),1,131060300
