id,objectid
1,193404002
2,193404003
3,194404004
4,193402003
5,193401003
6,194401002
7,182353001
8,215501001
9,112001000
10,112001001
11,112001002
12,112001003
13,112001004
14,112002001
15,112002002
16,112002003
17,112002004
18,112003001
19,112003002
20,112003003
21,112003004
22,112007001
23,112007002
24,112007003
25,112007004
26,112008001
27,112008002
28,112008003
29,112008004
30,112009001
31,112009002
32,112009003
33,112009004
34,122051001
35,122051002
36,122051003
37,122051004
38,122051005
39,122051006
40,142161130
41,142161230
42,142161330
43,192404001
44,162251001
45,143161130
46,143161230
47,143161330
48,194406005
49,204299003
50,163254001
51,142152130
52,142152230
53,142152330
54,132100002
55,132100003
56,132100004
57,122051007
58,112001005
59,112001006
60,112002005
61,112002006
62,112003005
63,112003006
64,112007005
65,112007006
66,112008005
67,112008006
68,112009005
69,112009006
70,172367028
71,172367027
72,172367029
73,172367030
74,172367031
75,172307014
76,112001008
77,112002008
78,112003008
79,112007008
80,112008008
81,112009008
82,182353002
83,173367032
84,142158140
85,142158240
86,142158340
87,142159140
88,142159240
89,142159340
90,142160140
91,142160240
92,142160340
93,173367033
94,141162150
95,141162250
96,141162350
97,141154150
98,141154250
99,141154350
