npcid,talk,side,position,rotation,scale,size,sound,cd
1,我是战士,2,(119,-685,1000),(0,171,0),(320,320,320),1,,
2,我是刺客,2,(119,-685,1000),(0,-177.79,0),(320,320,320),1,,
3,我是法师,2,(119,-670,1000),(0,-177.79,0),(320,320,320),1,,
200001,,1,(-147.6,-668,1000),(0,171,0),(320,320,320),1,,
200003,,1,(-147.6,-668,1000),(0,171,0),(320,320,320),1,,
200004,,1,(-147.6,-668,1000),(0,171,0),(320,320,320),1,,
300001,,1,(-250,-426,1000),(0,114,0),(160,160,160),0.600000023841858,,
300003,,1,(-173,-524,1000),(0,171,0),(160,160,160),0.5,,
300004,,1,(-147.6,-668,1000),(0,171,0),(320,320,320),1,,
9000031,还不快去给老夫采集宝箱,1,(-147.6,-668,1000),(0,178.4,0),(320,320,320),1,,
9010001,公子成长之快我自小得见。你若是怠慢了修炼，可是会被抛下的哦。,1,(-147.6,-668,1000),(0,179.72,0),(320,320,320),1,9010001.ogg,60
9010002,历经六道轮回，地府崩溃……你我转生至纪氏西府已有多年。,1,(-147.6,-668,1000),(0,169.98,0),(320,320,320),1,9010002.ogg,60
9010003,你若想踏足修仙之道，平日修行便不可有丝毫懈怠。,1,(-147.6,-668,1000),(0,178.4,0),(320,320,320),1,9010003.ogg,60
9010004,还记得正巧是宁儿降生的同一天，我在野地中拾得了尚是婴儿的你。,1,(-147.6,-668,1000),(0,172.4,0),(320,320,320),0.899999976158142,9010004.ogg,60
9010005,想收服我这威震东山泽的空青蛇王？哼，凭你的本事，还差得远呢！,1,(-147.6,-668,1000),(0,180.4,0),(320,320,320),1,9010005.ogg,60
9010006,我雪龙山以‘雪龙飞天阵’名传无尽大地。,1,(-147.6,-668,1000),(0,180.11,0),(320,320,320),1,9010006.ogg,60
9010007,小小年纪便能助纪氏度过这雪龙山之危，当真前途无量。,1,(-147.6,-668,1000),(12.3,180,0),(320,320,320),1,9010007.ogg,60
9010008,我这几匹神兽是不是又拉风又帅气？嘿嘿，别着急，只要肯努力，你也有机会的。,1,(-147.6,-668,1000),(0,178.38,0),(320,320,320),1,,
9020001,你既是我真心相交的朋友，我便不会让你吃亏。,1,(-147.6,-668,1000),(12.3,180,0),(320,320,320),1,9020001.ogg,60
9020002,学宫收徒可是这安澶城的一大盛事，却不知你与我黑白学宫可有师门之缘？,1,(-174.4,-668,1000),(0,179.4,0),(320,320,320),1,9020002.ogg,60
9020003,听闻学宫有新弟子入门，今日一见，果然不俗。,1,(-147.6,-668,1000),(0,170.27,0),(320,320,320),1,9020003.ogg,60
9020004,我于傀儡一道颇有心得，这条青龙就是一件精巧的傀儡法宝。,1,(-113.28,-668,1000),(0,175.4,0),(320,320,320),1,9020004.ogg,60
9020005,待你我学艺有成，定要找到冬七，替父母报仇雪恨！,1,(-147.6,-668,1000),(0,169.98,0),(320,320,320),1,9020005.ogg,60
9020006,身为剑仙，当有至诚之心！你作为我的弟子，也应诚于剑，诚于心。,1,(-147.6,-668,1000),(0,178.88,0),(320,320,320),1,9020006.ogg,60
9020007,世人皆知转世仙人天资卓越，却不晓那前世牵绊是何等的纠缠人心。
,1,(-97.9,-668,1000),(0,178.98,0),(320,320,320),1,9020007.ogg,60
9020008,你们若是帮了我，我少炎农自然是会记住这一人情的。,1,(-147.6,-668,1000),(0,182.11,0),(320,320,320),1,9020008.ogg,60
9020009,农儿是我爱徒澧水的唯一后嗣，与他的性命相比，你们又算得了什么！,1,(-147.6,-668,1000),(0,174.11,0),(320,320,320),1,9020009.ogg,60
9020011,押运镖车可得量力而为，若是被人劫了，我可不负责啊。,1,(-147.6,-668,1000),(0,174.11,0),(320,320,320),1,9020011.ogg,60
9020012,奉夏皇之命，于此接收镖车！,1,(-147.6,-668,1000),(0,174.11,0),(320,320,320),1,9020012.ogg,60
9030001,纪宁师兄似已来到王都，少炎氏的动向还真是令人担心啊。,1,(-113.2,-668,1000),(0,175.4,0),(320,320,320),1,9030001.ogg,60
9030002,你若是惜命之人，便离那纪宁远些！不然我少炎氏将你一并除去！,1,(-147.6,-668,1000),(0,174.11,0),(320,320,320),1,9030002.ogg,60
9030003,我体内流淌的尉迟之血，无时无刻不在祈求少炎氏的灭亡！,1,(-147.6,-668,1000),(0,180,0),(320,320,320),1,9030003.ogg,60
