id,kind,position,scene_position
1,1,(1.3, 3.5, -0.8),(107.3,3.5,109.2)
2,2,(29.1, 2.5, -29.7),(135.1,2.5,80.3)
3,2,(28.8, 3.6, 29.9),(134.8,3.6,139.9)
4,2,(-29.4, 3.8, 26.4),(76.6,3.8,136.4)
5,2,(-28.5, 2.5, -27.7),(77.5,2.5,82.3)
6,2,(-0.5, 2.5, -24.3),(105.5,2.5,85.7)
7,2,(-0.4, 2.5, 24.8),(105.6,2.5,134.8)
8,2,(26.8, 2.4, 0.5),(132.8,2.4,110.5)
9,2,(-23.1, 2.4, -0.6),(82.9,2.4,109.4)
10,2,(-44.3, 2.4, -0.6),(61.7,2.4,109.4)
11,2,(-0.5, 2.5, -41.8),(105.5,2.5,68.2)
12,2,(-0.4, 2.5, 42.7),(105.6,2.5,152.7)
13,2,(48.3, 2.4, 1.8),(154.3,2.4,111.8)
