id,trumpid,modelid,position
1,,1,(0.658,1.42,0.232)
2,,2,(0.484,0.827,-0.142)
3,,3,(0.63,1.62,0.005)
4,,4,(0.654,1.779,-0.725)
5,,5,(0.694,1.345,0.266)
6,,6,(0.717,1.946,-0.466)
7,,7,(0.65,2.081,0.184)
8,,8,(0.807,2.844,-0.041)
9,,9,(0.534,1.589,0.047)
10,,10,(0.602,2.91,0.721)
11,,11,(0.633,2.847,0.509)
12,,12,(0.633,3.079,0.509)
13,,13,(0.716,3.115,0.879)
14,,14,(0.665,1.753,0.112)
15,,15,(0.807,2.062,-0.044)
16,,501,(0.652,2.094,0.115)
17,,502,(0.943,2.985,0.934)
18,,503,(0.68,2.206,-0.412)
19,,504,(0.78,2.355,0.166)
20,,505,(0.616,2.21,-0.47)
21,,506,(0.801,695,0.303)
22,,507,(0.706,1.084,-0.021)
23,,508,(0.788,2.138,-0.318)
24,,509,(0.59,1.026,-0.96)
25,,510,(0.767,1.629,-0.189)
26,,511,(0.59,1.41,-0.129)
27,,512,(0.61,2.252,0.225)
28,,513,(0.528,1.026,0.076)
29,,514,(0.767,1.629,0.492)
30,,515,(0.59,1.735,-0.151)
31,,516,(0.761,1.374,0.436)
32,,517,(0.785,3.217,0.656)
