id,trumptype,level,model_id,icon,position,scale,rotation
1,1,1,1,10001,(0.574,-0.168,0.231),(1,1,1),(0,0,0)
2,1,2,1,10001,(0.574,-0.168,0.231),(1,1,1),(0,0,0)
3,1,3,2,10002,(0.574,-0.168,0.231),(1,1,1),(0,0,0)
4,1,4,2,10002,(0.574,-0.168,0.231),(1,1,1),(0,0,0)
5,1,5,3,10003,(0.574,-0.168,0.231),(1,1,1),(0,0,0)
6,1,6,3,10003,(0.574,-0.168,0.231),(1,1,1),(0,0,0)
7,1,7,4,10004,(0.574,-0.168,0.231),(1,1,1),(0,0,0)
8,2,1,5,20001,(0.644,0.34,0.231),(1,1,1),(0,0,0)
9,2,2,5,20001,(0.644,0.34,0.231),(1,1,1),(0,0,0)
10,2,3,6,20002,(0.644,0.34,0.231),(1,1,1),(0,0,0)
11,2,4,6,20002,(0.644,0.34,0.231),(1,1,1),(0,0,0)
12,2,5,7,20003,(0.644,0.34,0.231),(1,1,1),(0,0,0)
13,2,6,7,20003,(0.644,0.34,0.231),(1,1,1),(0,0,0)
14,2,7,8,20004,(0.644,0.34,0.231),(1,1,1),(0,0,0)
