id,copyid,blood,resource,goldguardid,tracezone
1,70201,20,30,1015101,(48.8,0.8,32.6)(7.2,0.8,32.6)(7.2,0.8,9.9)(48.8,0.8,9.5)
2,70202,20,50,1025101,(48.8,0.8,32.6)(7.2,0.8,32.6)(7.2,0.8,9.9)(48.8,0.8,9.5)
3,70203,20,50,1035101,(48.8,0.8,32.6)(7.2,0.8,32.6)(7.2,0.8,9.9)(48.8,0.8,9.5)
4,70204,20,50,1045101,(48.8,0.8,32.6)(7.2,0.8,32.6)(7.2,0.8,9.9)(48.8,0.8,9.5)
5,70205,20,50,1055101,(48.8,0.8,32.6)(7.2,0.8,32.6)(7.2,0.8,9.9)(48.8,0.8,9.5)
6,70206,20,50,1065101,(48.8,0.8,32.6)(7.2,0.8,32.6)(7.2,0.8,9.9)(48.8,0.8,9.5)
7,70207,20,50,1075101,(48.8,0.8,32.6)(7.2,0.8,32.6)(7.2,0.8,9.9)(48.8,0.8,9.5)
8,70208,20,50,1085101,(48.8,0.8,32.6)(7.2,0.8,32.6)(7.2,0.8,9.9)(48.8,0.8,9.5)
9,70209,20,50,1095101,(48.8,0.8,32.6)(7.2,0.8,32.6)(7.2,0.8,9.9)(48.8,0.8,9.5)
10,70210,20,50,1105101,(48.8,0.8,32.6)(7.2,0.8,32.6)(7.2,0.8,9.9)(48.8,0.8,9.5)
11,70211,20,50,1115101,(48.8,0.8,32.6)(7.2,0.8,32.6)(7.2,0.8,9.9)(48.8,0.8,9.5)
12,70212,20,50,1125101,(48.8,0.8,32.6)(7.2,0.8,32.6)(7.2,0.8,9.9)(48.8,0.8,9.5)
13,70213,20,50,1135101,(48.8,0.8,32.6)(7.2,0.8,32.6)(7.2,0.8,9.9)(48.8,0.8,9.5)
14,70214,20,50,1145101,(48.8,0.8,32.6)(7.2,0.8,32.6)(7.2,0.8,9.9)(48.8,0.8,9.5)
