id,kind,classify,typeid,name_3,name_2,name,limit_1,limit_2,health,describe,titleid,achievement,rank
1,1,1,21,个人成长,等级,修行之道（1）,40,-1,1000,等级达到{0}/{1},-1,10,1
2,1,1,1002,个人成长,等级,修行之道（2）,45,-1,0,等级达到{0}/{1},-1,20,2
3,1,1,1003,个人成长,等级,修行之道（3）,1040,-1,0,等级达到{0}/{1},-1,20,3
4,1,1,1004,个人成长,等级,修行之道（4）,1045,-1,0,等级达到{0}/{1},221552051,30,4
5,1,1,22,个人成长,等级,修行之道（5）,1050,-1,1000,等级达到{0}/{1},221552002,30,5
6,1,1,1006,个人成长,等级,修行之道（6）,2050,-1,0,等级达到{0}/{1},-1,40,6
7,1,1,1007,个人成长,等级,修行之道（7）,3050,-1,0,等级达到{0}/{1},-1,50,7
8,1,1,1008,个人成长,等级,修行之道（8）,3055,-1,0,等级达到{0}/{1},-1,50,8
9,1,1,1009,个人成长,等级,修行之道（9）,4055,-1,0,等级达到{0}/{1},-1,50,9
10,1,1,1010,个人成长,等级,修行之道（10）,4060,-1,0,等级达到{0}/{1},-1,50,10
11,1,1,23,个人成长,等级,修行之道（11）,4065,-1,1000,等级达到{0}/{1},-1,50,11
12,1,1,1012,个人成长,等级,修行之道（12）,5065,-1,0,等级达到{0}/{1},-1,50,12
13,1,1,1013,个人成长,等级,修行之道（13）,6065,-1,0,等级达到{0}/{1},-1,50,13
14,1,1,1014,个人成长,等级,修行之道（14）,6070,-1,0,等级达到{0}/{1},-1,50,14
15,1,1,1015,个人成长,等级,修行之道（15）,7070,-1,0,等级达到{0}/{1},-1,50,15
16,1,1,1016,个人成长,等级,修行之道（16）,7075,-1,0,等级达到{0}/{1},-1,50,16
17,1,1,24,个人成长,等级,修行之道（17）,7080,-1,1000,等级达到{0}/{1},-1,50,17
18,1,1,1018,个人成长,等级,修行之道（18）,8080,-1,0,等级达到{0}/{1},-1,50,18
19,1,1,1019,个人成长,等级,修行之道（19）,9080,-1,0,等级达到{0}/{1},-1,50,19
20,1,1,1020,个人成长,等级,修行之道（20）,9085,-1,0,等级达到{0}/{1},-1,50,20
21,1,1,1021,个人成长,等级,修行之道（21）,10085,-1,0,等级达到{0}/{1},-1,50,21
22,1,1,1022,个人成长,等级,修行之道（22）,10090,-1,0,等级达到{0}/{1},-1,50,22
23,1,1,1023,个人成长,等级,修行之道（23）,11090,-1,0,等级达到{0}/{1},-1,50,23
24,1,1,1024,个人成长,等级,修行之道（24）,11095,-1,0,等级达到{0}/{1},-1,50,24
25,1,1,25,个人成长,等级,修行之道（25）,11100,-1,1000,等级达到{0}/{1},-1,50,25
26,1,2,31,个人成长,战力,战力飙升(1),42000,-1,1000,达到{0}/{1}战力,221552003,10,1
27,1,2,32,个人成长,战力,战力飙升(2),210000,-1,1000,达到{0}/{1}战力,221552052,20,2
28,1,2,2003,个人成长,战力,战力飙升(3),280000,-1,0,达到{0}/{1}战力,221552053,30,3
29,1,2,2004,个人成长,战力,战力飙升(4),350000,-1,0,达到{0}/{1}战力,-1,40,4
30,1,2,2005,个人成长,战力,战力飙升(5),420000,-1,0,达到{0}/{1}战力,-1,50,5
31,1,2,33,个人成长,战力,战力飙升(6),630000,-1,1000,达到{0}/{1}战力,-1,50,6
32,1,2,2007,个人成长,战力,战力飙升(7),700000,-1,0,达到{0}/{1}战力,-1,50,7
33,1,2,2008,个人成长,战力,战力飙升(8),840000,-1,0,达到{0}/{1}战力,-1,50,8
34,1,2,2009,个人成长,战力,战力飙升(9),1050000,-1,0,达到{0}/{1}战力,-1,50,9
35,1,2,34,个人成长,战力,战力飙升(10),1260000,-1,1000,达到{0}/{1}战力,-1,50,10
36,1,2,2011,个人成长,战力,战力飙升(11),1470000,-1,0,达到{0}/{1}战力,-1,50,11
37,1,2,2012,个人成长,战力,战力飙升(12),1680000,-1,0,达到{0}/{1}战力,-1,50,12
38,1,2,2013,个人成长,战力,战力飙升(13),1890000,-1,0,达到{0}/{1}战力,-1,50,13
39,1,2,35,个人成长,战力,战力飙升(14),2100000,-1,1000,达到{0}/{1}战力,-1,50,14
40,1,2,2015,个人成长,战力,战力飙升(15),2450000,-1,0,达到{0}/{1}战力,-1,50,15
41,1,2,2016,个人成长,战力,战力飙升(16),2800000,-1,0,达到{0}/{1}战力,-1,50,16
42,1,2,2017,个人成长,战力,战力飙升(17),3150000,-1,0,达到{0}/{1}战力,-1,50,17
43,1,2,2018,个人成长,战力,战力飙升(18),3500000,-1,0,达到{0}/{1}战力,-1,50,18
44,1,2,2019,个人成长,战力,战力飙升(19),3850000,-1,0,达到{0}/{1}战力,-1,50,19
45,1,2,2020,个人成长,战力,战力飙升(20),4200000,-1,0,达到{0}/{1}战力,-1,50,20
46,1,3,41,个人成长,技能,万法皆通(1),1,5,1000,{0}/{1}个技能升到{2}级以上,-1,10,1
47,1,3,3002,个人成长,技能,万法皆通(2),2,5,0,{0}/{1}个技能升到{2}级以上,-1,10,2
48,1,3,3003,个人成长,技能,万法皆通(3),3,5,0,{0}/{1}个技能升到{2}级以上,-1,10,3
49,1,3,3004,个人成长,技能,万法皆通(4),2,8,0,{0}/{1}个技能升到{2}级以上,-1,30,4
50,1,3,42,个人成长,技能,万法皆通(5),2,10,1000,{0}/{1}个技能升到{2}级以上,-1,30,5
51,1,3,3006,个人成长,技能,万法皆通(6),3,8,0,{0}/{1}个技能升到{2}级以上,-1,40,6
52,1,3,3007,个人成长,技能,万法皆通(7),3,10,0,{0}/{1}个技能升到{2}级以上,-1,40,7
53,1,3,3008,个人成长,技能,万法皆通(8),3,12,0,{0}/{1}个技能升到{2}级以上,-1,40,8
54,1,3,3009,个人成长,技能,万法皆通(9),4,10,0,{0}/{1}个技能升到{2}级以上,-1,40,9
55,1,3,3010,个人成长,技能,万法皆通(10),4,15,0,{0}/{1}个技能升到{2}级以上,-1,50,10
56,1,3,3011,个人成长,技能,万法皆通(11),5,10,0,{0}/{1}个技能升到{2}级以上,-1,50,11
57,1,3,43,个人成长,技能,万法皆通(12),3,20,1000,{0}/{1}个技能升到{2}级以上,221552004,50,12
58,1,3,3013,个人成长,技能,万法皆通(13),3,25,0,{0}/{1}个技能升到{2}级以上,-1,50,13
59,1,3,3014,个人成长,技能,万法皆通(14),4,20,0,{0}/{1}个技能升到{2}级以上,-1,50,14
60,1,3,3015,个人成长,技能,万法皆通(15),4,25,0,{0}/{1}个技能升到{2}级以上,-1,50,15
61,1,3,44,个人成长,技能,万法皆通(16),4,30,1000,{0}/{1}个技能升到{2}级以上,-1,50,16
62,1,3,3017,个人成长,技能,万法皆通(17),5,30,0,{0}/{1}个技能升到{2}级以上,-1,50,17
63,1,3,3018,个人成长,技能,万法皆通(18),6,30,0,{0}/{1}个技能升到{2}级以上,-1,50,18
64,1,3,3019,个人成长,技能,万法皆通(19),5,35,0,{0}/{1}个技能升到{2}级以上,-1,50,19
65,1,3,3020,个人成长,技能,万法皆通(20),6,35,0,{0}/{1}个技能升到{2}级以上,-1,50,20
66,1,3,3021,个人成长,技能,万法皆通(21),5,40,0,{0}/{1}个技能升到{2}级以上,-1,50,21
67,1,3,45,个人成长,技能,万法皆通(22),6,40,1000,{0}/{1}个技能升到{2}级以上,-1,50,22
68,1,4,4001,个人成长,突破,渡劫飞升(1),2,-1,0,突破达到{0}/{1}阶,-1,40,1
69,1,4,4002,个人成长,突破,渡劫飞升(2),3,-1,0,突破达到{0}/{1}阶,-1,50,2
70,1,4,4003,个人成长,突破,渡劫飞升(3),4,-1,0,突破达到{0}/{1}阶,-1,50,3
71,1,4,4004,个人成长,突破,渡劫飞升(4),5,-1,0,突破达到{0}/{1}阶,-1,50,4
72,1,4,4005,个人成长,突破,渡劫飞升(5),6,-1,0,突破达到{0}/{1}阶,-1,50,5
73,1,4,4006,个人成长,突破,渡劫飞升(6),7,-1,0,突破达到{0}/{1}阶,-1,50,6
74,1,4,4007,个人成长,突破,渡劫飞升(7),8,-1,0,突破达到{0}/{1}阶,-1,50,7
75,1,4,4008,个人成长,突破,渡劫飞升(8),9,-1,0,突破达到{0}/{1}阶,-1,50,8
76,1,4,4009,个人成长,突破,渡劫飞升(9),10,-1,0,突破达到{0}/{1}阶,-1,50,9
77,1,5,5001,个人成长,法宝激活,法宝收藏(1),1,-1,0,激活{0}/{1}个法宝,221552058,30,1
78,1,5,5002,个人成长,法宝激活,法宝收藏(2),2,-1,0,激活{0}/{1}个法宝,-1,50,2
79,1,5,5003,个人成长,法宝激活,法宝收藏(3),3,-1,0,激活{0}/{1}个法宝,-1,50,3
80,1,5,5004,个人成长,法宝激活,法宝收藏(4),4,-1,0,激活{0}/{1}个法宝,-1,50,4
81,1,5,5005,个人成长,法宝激活,法宝收藏(5),5,-1,0,激活{0}/{1}个法宝,-1,50,5
82,1,5,5006,个人成长,法宝激活,法宝收藏(6),6,-1,0,激活{0}/{1}个法宝,-1,50,6
83,1,5,5007,个人成长,法宝激活,法宝收藏(7),7,-1,0,激活{0}/{1}个法宝,-1,50,7
84,1,5,5008,个人成长,法宝激活,法宝收藏(8),8,-1,0,激活{0}/{1}个法宝,-1,50,8
85,1,5,5009,个人成长,法宝激活,法宝收藏(9),9,-1,0,激活{0}/{1}个法宝,-1,50,9
86,1,5,5010,个人成长,法宝激活,法宝收藏(10),10,-1,0,激活{0}/{1}个法宝,-1,50,10
87,1,6,6001,个人成长,法宝培养,法宝育灵(1),1,5,0,{0}/{1}个法宝达到{2}级,-1,30,1
88,1,6,6002,个人成长,法宝培养,法宝育灵(2),2,5,0,{0}/{1}个法宝达到{2}级,-1,50,2
89,1,6,6003,个人成长,法宝培养,法宝育灵(3),2,10,0,{0}/{1}个法宝达到{2}级,-1,50,3
90,1,6,6004,个人成长,法宝培养,法宝育灵(4),3,10,0,{0}/{1}个法宝达到{2}级,-1,50,4
91,1,6,6005,个人成长,法宝培养,法宝育灵(5),3,15,0,{0}/{1}个法宝达到{2}级,-1,50,5
92,1,6,6006,个人成长,法宝培养,法宝育灵(6),4,10,0,{0}/{1}个法宝达到{2}级,-1,50,6
93,1,6,6007,个人成长,法宝培养,法宝育灵(7),4,15,0,{0}/{1}个法宝达到{2}级,-1,50,7
94,1,6,6008,个人成长,法宝培养,法宝育灵(8),5,10,0,{0}/{1}个法宝达到{2}级,-1,50,8
95,1,6,6009,个人成长,法宝培养,法宝育灵(9),5,15,0,{0}/{1}个法宝达到{2}级,-1,50,9
96,1,6,6010,个人成长,法宝培养,法宝育灵(10),5,20,0,{0}/{1}个法宝达到{2}级,-1,50,10
97,1,6,6011,个人成长,法宝培养,法宝育灵(11),6,20,0,{0}/{1}个法宝达到{2}级,-1,50,11
98,1,6,6012,个人成长,法宝培养,法宝育灵(12),6,25,0,{0}/{1}个法宝达到{2}级,-1,50,12
99,1,6,6013,个人成长,法宝培养,法宝育灵(13),6,30,0,{0}/{1}个法宝达到{2}级,-1,50,13
100,1,6,6014,个人成长,法宝培养,法宝育灵(14),7,20,0,{0}/{1}个法宝达到{2}级,-1,50,14
101,1,6,6015,个人成长,法宝培养,法宝育灵(15),8,20,0,{0}/{1}个法宝达到{2}级,-1,50,15
102,1,6,6016,个人成长,法宝培养,法宝育灵(16),9,20,0,{0}/{1}个法宝达到{2}级,-1,50,16
103,1,6,6017,个人成长,法宝培养,法宝育灵(17),3,40,0,{0}/{1}个法宝达到{2}级,-1,50,17
104,1,7,7001,个人成长,玄兵淬炼,淬炼宗师(1),1,200,0,{0}/{1}个玄兵淬炼达到{2},-1,40,1
105,1,7,7002,个人成长,玄兵淬炼,淬炼宗师(2),2,200,0,{0}/{1}个玄兵淬炼达到{2},-1,50,2
106,1,7,7003,个人成长,玄兵淬炼,淬炼宗师(3),1,300,0,{0}/{1}个玄兵淬炼达到{2},-1,50,3
107,1,7,7004,个人成长,玄兵淬炼,淬炼宗师(4),2,300,0,{0}/{1}个玄兵淬炼达到{2},-1,50,4
108,1,7,7005,个人成长,玄兵淬炼,淬炼宗师(5),1,400,0,{0}/{1}个玄兵淬炼达到{2},-1,50,5
109,1,7,7006,个人成长,玄兵淬炼,淬炼宗师(6),2,400,0,{0}/{1}个玄兵淬炼达到{2},-1,50,6
