id,bag_id,objectid,bind,percent,mix,max,step,profession
1,10001,144151320,2,37,1,1,1,0
10,10001,144154220,2,23,1,1,1,0
100,10003,144160130,2,17,1,1,1,0
1000,10017,144159240,2,572.50117316,1,1,1,0
1001,10017,144159140,2,572.50117316,1,1,1,0
1002,10017,144160140,2,572.50117316,1,1,1,0
1003,10017,144160340,2,572.50117316,1,1,1,0
1004,10017,144160240,2,572.50117316,1,1,1,0
1005,10017,144161240,2,229.00046926,1,1,1,0
1006,10017,144161140,2,229.00046926,1,1,1,0
1007,10017,144161340,2,229.00046926,1,1,1,0
1008,10017,144162140,2,429.37587987,1,1,1,0
1009,10017,144162340,2,429.37587987,1,1,1,0
101,10003,144160330,2,17,1,1,1,0
1010,10017,144162240,2,429.37587987,1,1,1,0
1011,10017,143151240,2,1565.4622243,1,1,1,0
1012,10017,143151340,2,1565.4622243,1,1,1,0
1013,10017,143151140,2,1565.4622243,1,1,1,0
1014,10017,143152140,2,652.27592679,1,1,1,0
1015,10017,143152340,2,652.27592679,1,1,1,0
1016,10017,143152240,2,652.27592679,1,1,1,0
1017,10017,143153340,2,1304.5518536,1,1,1,0
1018,10017,143153140,2,1304.5518536,1,1,1,0
1019,10017,143153240,2,1304.5518536,1,1,1,0
102,10003,144160230,2,17,1,1,1,0
1020,10017,143154240,2,978.41389019,1,1,1,0
1021,10017,143154140,2,978.41389019,1,1,1,0
1022,10017,143154340,2,978.41389019,1,1,1,0
1023,10017,143155340,2,1304.5518536,1,1,1,0
1024,10017,143155240,2,1304.5518536,1,1,1,0
1025,10017,143155140,2,1304.5518536,1,1,1,0
1026,10017,143156340,2,1565.4622243,1,1,1,0
1027,10017,143156240,2,1565.4622243,1,1,1,0
1028,10017,143156140,2,1565.4622243,1,1,1,0
1029,10017,143157240,2,1304.5518536,1,1,1,0
103,10003,144161230,2,6,1,1,1,0
1030,10017,143157140,2,1304.5518536,1,1,1,0
1031,10017,143157340,2,1304.5518536,1,1,1,0
1032,10017,143158240,2,1115.3918348,1,1,1,0
1033,10017,143158140,2,1115.3918348,1,1,1,0
1034,10017,143158340,2,1115.3918348,1,1,1,0
1035,10017,143159140,2,1304.5518536,1,1,1,0
1036,10017,143159240,2,1304.5518536,1,1,1,0
1037,10017,143159340,2,1304.5518536,1,1,1,0
1038,10017,143160340,2,1304.5518536,1,1,1,0
1039,10017,143160240,2,1304.5518536,1,1,1,0
104,10003,144161130,2,6,1,1,1,0
1040,10017,143160140,2,1304.5518536,1,1,1,0
1041,10017,143161240,2,521.82074144,1,1,1,0
1042,10017,143161340,2,521.82074144,1,1,1,0
1043,10017,143161140,2,521.82074144,1,1,1,0
1044,10017,143162340,2,978.41389019,1,1,1,0
1045,10017,143162240,2,978.41389019,1,1,1,0
1046,10017,143162140,2,978.41389019,1,1,1,0
1047,10017,143151350,2,311.59080244,1,1,1,0
1048,10017,143151150,2,311.59080244,1,1,1,0
1049,10017,143151250,2,311.59080244,1,1,1,0
105,10003,144161330,2,6,1,1,1,0
1050,10017,143152150,2,129.82950102,1,1,1,0
1051,10017,143152250,2,129.82950102,1,1,1,0
1052,10017,143152350,2,129.82950102,1,1,1,0
1053,10017,143153350,2,259.65900203,1,1,1,0
1054,10017,143153150,2,259.65900203,1,1,1,0
1055,10017,143153250,2,259.65900203,1,1,1,0
1056,10017,143154250,2,194.74425153,1,1,1,0
1057,10017,143154350,2,194.74425153,1,1,1,0
1058,10017,143154150,2,194.74425153,1,1,1,0
1059,10017,143155250,2,259.65900203,1,1,1,0
106,10003,144162330,2,13,1,1,1,0
1060,10017,143155150,2,259.65900203,1,1,1,0
1061,10017,143155350,2,259.65900203,1,1,1,0
1062,10017,143156350,2,311.59080244,1,1,1,0
1063,10017,143156250,2,311.59080244,1,1,1,0
1064,10017,143156150,2,311.59080244,1,1,1,0
1065,10017,143157250,2,259.65900203,1,1,1,0
1066,10017,143157150,2,259.65900203,1,1,1,0
1067,10017,143157350,2,259.65900203,1,1,1,0
1068,10017,143158150,2,222.00844674,1,1,1,0
1069,10017,143158250,2,222.00844674,1,1,1,0
107,10003,144162230,2,13,1,1,1,0
1070,10017,143158350,2,222.00844674,1,1,1,0
1071,10017,143159250,2,259.65900203,1,1,1,0
1072,10017,143159350,2,259.65900203,1,1,1,0
1073,10017,143159150,2,259.65900203,1,1,1,0
1074,10017,143160350,2,259.65900203,1,1,1,0
1075,10017,143160250,2,259.65900203,1,1,1,0
1076,10017,143160150,2,259.65900203,1,1,1,0
1077,10017,143161250,2,103.86360081,1,1,1,0
1078,10017,143161350,2,103.86360081,1,1,1,0
1079,10017,143161150,2,103.86360081,1,1,1,0
108,10003,144162130,2,13,1,1,1,0
1080,10017,143162350,2,194.74425153,1,1,1,0
1081,10017,143162250,2,194.74425153,1,1,1,0
1082,10017,143162150,2,194.74425153,1,1,1,0
1083,10017,182353001,2,16700,1,1,1,0
1084,10017,173300003,1,15000,1,1,1,0
1085,10018,144151340,2,656.96855936,1,1,1,0
1086,10018,144151140,2,656.96855936,1,1,1,0
1087,10018,144151240,2,656.96855936,1,1,1,0
1088,10018,144152240,2,273.73689973,1,1,1,0
1089,10018,144152340,2,273.73689973,1,1,1,0
109,10004,144151330,2,27,1,1,1,0
1090,10018,144152140,2,273.73689973,1,1,1,0
1091,10018,144153340,2,547.47379947,1,1,1,0
1092,10018,144153240,2,547.47379947,1,1,1,0
1093,10018,144153140,2,547.47379947,1,1,1,0
1094,10018,144154240,2,410.6053496,1,1,1,0
1095,10018,144154140,2,410.6053496,1,1,1,0
1096,10018,144154340,2,410.6053496,1,1,1,0
1097,10018,144155140,2,547.47379947,1,1,1,0
1098,10018,144155240,2,547.47379947,1,1,1,0
1099,10018,144155340,2,547.47379947,1,1,1,0
11,10001,144154120,2,23,1,1,1,0
110,10004,144151130,2,27,1,1,1,0
1100,10018,144156340,2,656.96855936,1,1,1,0
1101,10018,144156140,2,656.96855936,1,1,1,0
1102,10018,144156240,2,656.96855936,1,1,1,0
1103,10018,144157140,2,547.47379947,1,1,1,0
1104,10018,144157340,2,547.47379947,1,1,1,0
1105,10018,144157240,2,547.47379947,1,1,1,0
1106,10018,144158240,2,468.09009855,1,1,1,0
1107,10018,144158140,2,468.09009855,1,1,1,0
